Ville;Région;Pays;Zone géographique;ID Zone Géo
Puteaux;Île-de-France;France;Centre;2
Melun;Île-de-France;France;Centre;2
Chatou;Île-de-France;France;Centre;2
Cachan;Île-de-France;France;Centre;2
Éragny;Île-de-France;France;Centre;2
Savigny-le-Temple;Île-de-France;France;Centre;2
Marly-le-Roi;Île-de-France;France;Centre;2
Villeparisis;Île-de-France;France;Centre;2
Torcy;Île-de-France;France;Centre;2
Ris-Orangis;Île-de-France;France;Centre;2
Les Clayes-sous-Bois;Île-de-France;France;Centre;2
Le Bouscat;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Strasbourg;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Dijon;Bourgogne-Franche-Comté;France;Centre;2
Argentan;Normandie;France;Centre;2
Bayeux;Normandie;France;Centre;2
Saint-Genis-Laval;Auvergne-Rhône-Alpes;France;Centre;2
Beaune;Bourgogne-Franche-Comté;France;Centre;2
Antibes;Provence-Alpes-Côte d'Azur;France;Centre;2
Abbeville;Nord-Pas-de-Calais-Picardie;France;Centre;2
Brest;Bretagne;France;Centre;2
Nancy;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Cannes;Provence-Alpes-Côte d'Azur;France;Centre;2
Marseille;Provence-Alpes-Côte d'Azur;France;Centre;2
Pessac;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Albertville;Auvergne-Rhône-Alpes;France;Centre;2
Perpignan;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Amiens;Nord-Pas-de-Calais-Picardie;France;Centre;2
Metz;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Grasse;Provence-Alpes-Côte d'Azur;France;Centre;2
Saint-Nazaire;Pays de la Loire;France;Centre;2
Saint-Brieuc;Bretagne;France;Centre;2
Haguenau;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Colmar;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Belfort;Bourgogne-Franche-Comté;France;Centre;2
Avignon;Provence-Alpes-Côte d'Azur;France;Centre;2
Talence;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Pertuis;Provence-Alpes-Côte d'Azur;France;Centre;2
Schiltigheim;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Tours;Centre-Val de Loire;France;Centre;2
La Crau;Provence-Alpes-Côte d'Azur;France;Centre;2
Chartres;Centre-Val de Loire;France;Centre;2
Limoges;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Valence;Auvergne-Rhône-Alpes;France;Centre;2
Bordeaux;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Fontaine;Auvergne-Rhône-Alpes;France;Centre;2
Villeneuve-sur-Lot;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Villeurbanne;Auvergne-Rhône-Alpes;France;Centre;2
Bourges;Centre-Val de Loire;France;Centre;2
Mont-de-Marsan;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Nice;Provence-Alpes-Côte d'Azur;France;Centre;2
Saint-Avold;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Pau;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Mâcon;Bourgogne-Franche-Comté;France;Centre;2
Arras;Nord-Pas-de-Calais-Picardie;France;Centre;2
Marignane;Provence-Alpes-Côte d'Azur;France;Centre;2
Muret;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Saint-Malo;Bretagne;France;Centre;2
Meyzieu;Auvergne-Rhône-Alpes;France;Centre;2
Cholet;Pays de la Loire;France;Centre;2
Avion;Nord-Pas-de-Calais-Picardie;France;Centre;2
Saint-Priest;Auvergne-Rhône-Alpes;France;Centre;2
Nantes;Pays de la Loire;France;Centre;2
Montargis;Centre-Val de Loire;France;Centre;2
Montpellier;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Toulouse;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Angers;Pays de la Loire;France;Centre;2
Épinal;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Lyon;Auvergne-Rhône-Alpes;France;Centre;2
Beauvais;Nord-Pas-de-Calais-Picardie;France;Centre;2
Laval;Pays de la Loire;France;Centre;2
Forbach;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Annecy;Auvergne-Rhône-Alpes;France;Centre;2
Quimper;Bretagne;France;Centre;2
Carcassonne;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Carpentras;Provence-Alpes-Côte d'Azur;France;Centre;2
Cognac;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Reims;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Six-Fours-les-Plages;Provence-Alpes-Côte d'Azur;France;Centre;2
Toulon;Provence-Alpes-Côte d'Azur;France;Centre;2
Colomiers;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Narbonne;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Clermont-Ferrand;Auvergne-Rhône-Alpes;France;Centre;2
Firminy;Auvergne-Rhône-Alpes;France;Centre;2
Vesoul;Bourgogne-Franche-Comté;France;Centre;2
Menton;Provence-Alpes-Côte d'Azur;France;Centre;2
Caen;Normandie;France;Centre;2
Bron;Auvergne-Rhône-Alpes;France;Centre;2
Niort;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Blois;Centre-Val de Loire;France;Centre;2
Le Mans;Pays de la Loire;France;Centre;2
Lorient;Bretagne;France;Centre;2
Sarreguemines;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Mougins;Provence-Alpes-Côte d'Azur;France;Centre;2
Toul;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Digne-les-Bains;Provence-Alpes-Côte d'Azur;France;Centre;2
Ajaccio;Corse;France;Centre;2
Tulle;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Berck;Nord-Pas-de-Calais-Picardie;France;Centre;2
Boulogne-sur-Mer;Nord-Pas-de-Calais-Picardie;France;Centre;2
Mulhouse;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Saint-Chamond;Auvergne-Rhône-Alpes;France;Centre;2
Vallauris;Provence-Alpes-Côte d'Azur;France;Centre;2
Échirolles;Auvergne-Rhône-Alpes;France;Centre;2
Bar-le-Duc;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Dax;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Saint-Laurent-du-Var;Provence-Alpes-Côte d'Azur;France;Centre;2
Castres;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
La Roche-sur-Yon;Pays de la Loire;France;Centre;2
La Seyne-sur-Mer;Provence-Alpes-Côte d'Azur;France;Centre;2
Gradignan;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Oyonnax;Auvergne-Rhône-Alpes;France;Centre;2
Frontignan;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Agen;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Tarbes;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Cluses;Auvergne-Rhône-Alpes;France;Centre;2
Chaumont;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Montauban;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Les Pennes-Mirabeau;Provence-Alpes-Côte d'Azur;France;Centre;2
Anglet;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Bastia;Corse;France;Centre;2
Grenoble;Auvergne-Rhône-Alpes;France;Centre;2
Sète;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Istres;Provence-Alpes-Côte d'Azur;France;Centre;2
Villefontaine;Auvergne-Rhône-Alpes;France;Centre;2
Dieppe;Normandie;France;Centre;2
Calais;Nord-Pas-de-Calais-Picardie;France;Centre;2
La Ciotat;Provence-Alpes-Côte d'Azur;France;Centre;2
Aix-en-Provence;Provence-Alpes-Côte d'Azur;France;Centre;2
Martigues;Provence-Alpes-Côte d'Azur;France;Centre;2
Thonon-les-Bains;Auvergne-Rhône-Alpes;France;Centre;2
Roanne;Auvergne-Rhône-Alpes;France;Centre;2
Arles;Provence-Alpes-Côte d'Azur;France;Centre;2
Elbeuf;Normandie;France;Centre;2
Évreux;Normandie;France;Centre;2
Carquefou;Pays de la Loire;France;Centre;2
Thionville;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Annonay;Auvergne-Rhône-Alpes;France;Centre;2
Les Herbiers;Pays de la Loire;France;Centre;2
Lons-le-Saunier;Bourgogne-Franche-Comté;France;Centre;2
Gap;Provence-Alpes-Côte d'Azur;France;Centre;2
Pontivy;Bretagne;France;Centre;2
Cambrai;Nord-Pas-de-Calais-Picardie;France;Centre;2
Carvin;Nord-Pas-de-Calais-Picardie;France;Centre;2
Saint-Herblain;Pays de la Loire;France;Centre;2
Albi;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Villenave-d'Ornon;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Rochefort;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
La Rochelle;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Bourg-en-Bresse;Auvergne-Rhône-Alpes;France;Centre;2
Coudekerque-Branche;Nord-Pas-de-Calais-Picardie;France;Centre;2
Creil;Nord-Pas-de-Calais-Picardie;France;Centre;2
Agde;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Denain;Nord-Pas-de-Calais-Picardie;France;Centre;2
Douai;Nord-Pas-de-Calais-Picardie;France;Centre;2
Vichy;Auvergne-Rhône-Alpes;France;Centre;2
Rennes;Bretagne;France;Centre;2
Lunel;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Lormont;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Riom;Auvergne-Rhône-Alpes;France;Centre;2
Vence;Provence-Alpes-Côte d'Azur;France;Centre;2
Biarritz;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Faches-Thumesnil;Nord-Pas-de-Calais-Picardie;France;Centre;2
Vitrolles;Provence-Alpes-Côte d'Azur;France;Centre;2
Le Pontet;Provence-Alpes-Côte d'Azur;France;Centre;2
Oullins;Auvergne-Rhône-Alpes;France;Centre;2
Flers;Normandie;France;Centre;2
Mauguio;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Pamiers;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Halluin;Nord-Pas-de-Calais-Picardie;France;Centre;2
Hautmont;Nord-Pas-de-Calais-Picardie;France;Centre;2
Dreux;Centre-Val de Loire;France;Centre;2
Hazebrouck;Nord-Pas-de-Calais-Picardie;France;Centre;2
La Teste-de-Buch;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Draguignan;Provence-Alpes-Côte d'Azur;France;Centre;2
Givors;Auvergne-Rhône-Alpes;France;Centre;2
Concarneau;Bretagne;France;Centre;2
Fleury-les-Aubrais;Centre-Val de Loire;France;Centre;2
Le Havre;Normandie;France;Centre;2
Hayange;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Verdun;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
Auxerre;Bourgogne-Franche-Comté;France;Centre;2
La Madeleine;Nord-Pas-de-Calais-Picardie;France;Centre;2
Laon;Nord-Pas-de-Calais-Picardie;France;Centre;2
Annemasse;Auvergne-Rhône-Alpes;France;Centre;2
Gardanne;Provence-Alpes-Côte d'Azur;France;Centre;2
Saint-Jean-de-la-Ruelle;Centre-Val de Loire;France;Centre;2
Landerneau;Bretagne;France;Centre;2
Millau;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Bayonne;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Sallanches;Auvergne-Rhône-Alpes;France;Centre;2
Cavaillon;Provence-Alpes-Côte d'Azur;France;Centre;2
Vannes;Bretagne;France;Centre;2
Lens;Nord-Pas-de-Calais-Picardie;France;Centre;2
Cestas;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Miramas;Provence-Alpes-Côte d'Azur;France;Centre;2
Lille;Nord-Pas-de-Calais-Picardie;France;Centre;2
Tournefeuille;Languedoc-Roussillon-Midi-Pyrénées;France;Centre;2
Gien;Centre-Val de Loire;France;Centre;2
Rillieux-la-Pape;Auvergne-Rhône-Alpes;France;Centre;2
Saint-Louis;Alsace-Champagne-Ardenne-Lorraine;France;Centre;2
La Baule-Escoublac;Pays de la Loire;France;Centre;2
Vertou;Pays de la Loire;France;Centre;2
Bressuire;Aquitaine-Limousin-Poitou-Charentes;France;Centre;2
Ploemeur;Bretagne;France;Centre;2
